Model_Scenario_ID,Model,Model_Group,Scenario,Category,Year,PV_Capacity
1,AIM/CGE 2.1,AIM/CGE,CD-LINKS_NPi2020_1000,C3,2020,155.673
2,AIM/CGE 2.1,AIM/CGE,CD-LINKS_NPi2020_1600,C5,2020,160.6401
3,AIM/CGE 2.1,AIM/CGE,CD-LINKS_NPi2020_400,C1,2020,155.6773
4,AIM/CGE 2.1,AIM/CGE,CO_Bridge,C3,2020,426.4871
5,AIM/CGE 2.1,AIM/CGE,CO_CurPol,C7,2020,426.4332
6,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1000f,C3,2020,605.4152
7,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1200,C4,2020,605.4152
8,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1200f,C4,2020,605.4152
9,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1400,C4,2020,605.4152
10,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1400f,C4,2020,605.4152
11,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1600,C5,2020,605.4152
12,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1600f,C5,2020,605.4152
13,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1800,C5,2020,605.4152
14,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_1800f,C5,2020,605.4152
15,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_800f,C3,2020,605.4152
16,AIM/CGE 2.2,AIM/CGE,EN_INDCi2030_900f,C3,2020,605.4152
17,AIM/CGE 2.2,AIM/CGE,EN_INDCi2100,C6,2020,605.4152
26,AIM/CGE 2.2,AIM/CGE,EN_NPi2020_1800,C5,2020,605.4152
27,AIM/CGE 2.2,AIM/CGE,EN_NPi2020_1800f,C5,2020,605.4152
39,AIM/CGE 2.2,AIM/CGE,EN_NPi2100,C7,2020,605.4152
41,AIM/Hub-Global 2.0,AIM/CGE,2.5C,C6,2020,565.4805
42,AIM/Hub-Global 2.0,AIM/CGE,2C,C5,2020,565.4805
43,AIM/Hub-Global 2.0,AIM/CGE,Baseline,C7,2020,542.1878
44,AIM/Hub-Global 2.0,AIM/CGE,WB2C,C3,2020,714.9163
51,COFFEE 1.1,COFFEE,CO_2Deg2020,C4,2020,689.571
52,COFFEE 1.1,COFFEE,CO_2Deg2030,C4,2020,689.571
53,COFFEE 1.1,COFFEE,CO_BAU,C7,2020,689.571
54,COFFEE 1.1,COFFEE,CO_Bridge,C3,2020,689.571
55,COFFEE 1.1,COFFEE,CO_CurPol,C6,2020,689.571
56,COFFEE 1.1,COFFEE,CO_GPP,C5,2020,689.571
57,COFFEE 1.1,COFFEE,CO_NDCplus,C6,2020,689.571
58,COFFEE 1.1,COFFEE,EN_INDCi2030_1000,C4,2020,689.571
59,COFFEE 1.1,COFFEE,EN_INDCi2030_1000_NDCp,C4,2020,689.571
60,COFFEE 1.1,COFFEE,EN_INDCi2030_1000f,C5,2020,689.571
61,COFFEE 1.1,COFFEE,EN_INDCi2030_1200,C4,2020,689.571
62,COFFEE 1.1,COFFEE,EN_INDCi2030_1200f,C5,2020,689.571
63,COFFEE 1.1,COFFEE,EN_INDCi2030_1400,C5,2020,689.571
64,COFFEE 1.1,COFFEE,EN_INDCi2030_1400f,C5,2020,689.571
65,COFFEE 1.1,COFFEE,EN_INDCi2030_1600,C5,2020,689.571
66,COFFEE 1.1,COFFEE,EN_INDCi2030_1600f,C5,2020,689.571
67,COFFEE 1.1,COFFEE,EN_INDCi2030_1800,C5,2020,689.571
68,COFFEE 1.1,COFFEE,EN_INDCi2030_1800f,C5,2020,689.571
69,COFFEE 1.1,COFFEE,EN_INDCi2030_2000,C5,2020,689.571
70,COFFEE 1.1,COFFEE,EN_INDCi2030_2000f,C5,2020,689.571
71,COFFEE 1.1,COFFEE,EN_INDCi2030_2500,C6,2020,689.571
72,COFFEE 1.1,COFFEE,EN_INDCi2030_2500f,C6,2020,689.571
73,COFFEE 1.1,COFFEE,EN_INDCi2030_400f,C2,2020,689.571
74,COFFEE 1.1,COFFEE,EN_INDCi2030_500,C3,2020,689.571
75,COFFEE 1.1,COFFEE,EN_INDCi2030_500f,C2,2020,689.571
76,COFFEE 1.1,COFFEE,EN_INDCi2030_600,C3,2020,689.571
77,COFFEE 1.1,COFFEE,EN_INDCi2030_600_NDCp,C3,2020,689.571
78,COFFEE 1.1,COFFEE,EN_INDCi2030_600f,C4,2020,689.571
79,COFFEE 1.1,COFFEE,EN_INDCi2030_700,C3,2020,689.571
80,COFFEE 1.1,COFFEE,EN_INDCi2030_700f,C4,2020,689.571
81,COFFEE 1.1,COFFEE,EN_INDCi2030_800,C3,2020,689.571
82,COFFEE 1.1,COFFEE,EN_INDCi2030_800f,C4,2020,689.571
83,COFFEE 1.1,COFFEE,EN_INDCi2030_900,C3,2020,689.571
84,COFFEE 1.1,COFFEE,EN_INDCi2030_900f,C4,2020,689.571
85,COFFEE 1.1,COFFEE,EN_INDCi2100,C6,2020,689.571
86,COFFEE 1.1,COFFEE,EN_INDCi2100_COV_NDCp,C6,2020,689.571
87,COFFEE 1.1,COFFEE,EN_NPi2020_1000,C4,2020,689.571
88,COFFEE 1.1,COFFEE,EN_NPi2020_1000f,C5,2020,689.571
89,COFFEE 1.1,COFFEE,EN_NPi2020_1200,C4,2020,689.571
90,COFFEE 1.1,COFFEE,EN_NPi2020_1200f,C5,2020,689.571
91,COFFEE 1.1,COFFEE,EN_NPi2020_1400,C5,2020,689.571
92,COFFEE 1.1,COFFEE,EN_NPi2020_1400f,C5,2020,689.571
93,COFFEE 1.1,COFFEE,EN_NPi2020_1600,C5,2020,689.571
94,COFFEE 1.1,COFFEE,EN_NPi2020_1600f,C5,2020,689.571
95,COFFEE 1.1,COFFEE,EN_NPi2020_1800,C5,2020,689.571
96,COFFEE 1.1,COFFEE,EN_NPi2020_1800f,C5,2020,689.571
97,COFFEE 1.1,COFFEE,EN_NPi2020_2000,C5,2020,689.571
98,COFFEE 1.1,COFFEE,EN_NPi2020_2000f,C5,2020,689.571
99,COFFEE 1.1,COFFEE,EN_NPi2020_2500,C6,2020,689.571
100,COFFEE 1.1,COFFEE,EN_NPi2020_2500f,C6,2020,689.571
101,COFFEE 1.1,COFFEE,EN_NPi2020_400,C1,2020,689.571
102,COFFEE 1.1,COFFEE,EN_NPi2020_400_lowBECCS,C3,2020,689.571
103,COFFEE 1.1,COFFEE,EN_NPi2020_400f,C2,2020,689.571
104,COFFEE 1.1,COFFEE,EN_NPi2020_400f_lowBECCS,C3,2020,689.571
105,COFFEE 1.1,COFFEE,EN_NPi2020_500,C3,2020,689.571
106,COFFEE 1.1,COFFEE,EN_NPi2020_500f,C2,2020,689.571
107,COFFEE 1.1,COFFEE,EN_NPi2020_600,C3,2020,689.571
108,COFFEE 1.1,COFFEE,EN_NPi2020_600f,C4,2020,689.571
109,COFFEE 1.1,COFFEE,EN_NPi2020_700,C3,2020,689.571
110,COFFEE 1.1,COFFEE,EN_NPi2020_700f,C4,2020,689.571
111,COFFEE 1.1,COFFEE,EN_NPi2020_800,C3,2020,689.571
112,COFFEE 1.1,COFFEE,EN_NPi2020_800f,C4,2020,689.571
113,COFFEE 1.1,COFFEE,EN_NPi2020_900,C3,2020,689.571
114,COFFEE 1.1,COFFEE,EN_NPi2020_900f,C4,2020,689.571
115,COFFEE 1.1,COFFEE,EN_NPi2100,C6,2020,689.571
126,GCAM 5.2,GCAM,"NGFS1_Current policies (Hot house world, Rep)",C7,2020,727
129,GCAM 5.3,GCAM,NGFS2_Current Policies,C7,2020,727.8026117
130,GCAM 5.3,GCAM,NGFS2_Delayed Transition,C4,2020,727.8026117
131,GCAM 5.3,GCAM,NGFS2_Divergent Net Zero Policies,C2,2020,727.8026117
132,GCAM 5.3,GCAM,NGFS2_Nationally Determined Contributions (NDCs),C5,2020,563.4826058
133,GCAM 5.3,GCAM,NGFS2_Net-Zero 2050,C2,2020,727
148,AIM/CGE 2.1,AIM/CGE,CD-LINKS_INDC2030i_1600,C5,2020,159.6025
149,AIM/CGE 2.1,AIM/CGE,CD-LINKS_INDCi,C7,2020,157.7027
150,AIM/CGE 2.1,AIM/CGE,CD-LINKS_NDC2030i_1000,C4,2020,159.6025
179,GCAM-PR 5.3,GCAM,PR_CP_PriceOnly,C7,2020,727
180,GCAM-PR 5.3,GCAM,PR_NDC_PriceOnly,C6,2020,727
181,GCAM-PR 5.3,GCAM,PR_baseline,C7,2020,727
182,GEM-E3_V2021,GEM-E3,EN_INDCi2030_1000,C3,2020,610.3550231
183,GEM-E3_V2021,GEM-E3,EN_INDCi2030_1000_COV,C3,2020,584.039311
184,GEM-E3_V2021,GEM-E3,EN_INDCi2030_1000_COV_NDCp,C3,2020,584.0614289
185,GEM-E3_V2021,GEM-E3,EN_INDCi2030_1000_NDCp,C3,2020,610.3032827
186,GEM-E3_V2021,GEM-E3,EN_INDCi2030_1000f,C4,2020,610.3550231
