Year,Capacity,Capex,Model
2020, 542 ,2282.181529,AIM/CGE
2030," 2,448 ",1759.99389,AIM/CGE
2040," 4,666 ",1532.541266,AIM/CGE
2050," 7,165 ",1297.666637,AIM/CGE
2060," 9,969 ",1303.158036,AIM/CGE
2070," 12,831 ",1309.591667,AIM/CGE
2080," 15,258 ",1311.175591,AIM/CGE
2090," 17,229 ",1311.429063,AIM/CGE
2100," 18,714 ",1310.81322,AIM/CGE
2020, 711 ,2238.884083,GCAM
2030," 2,948 ",1705.252893,GCAM
2040," 4,861 ",1539.569016,GCAM
2050," 6,759 ",1421.223389,GCAM
2060," 8,634 ",1421.223389,GCAM
2070," 10,442 ",1421.223389,GCAM
2080," 11,907 ",1421.223389,GCAM
2090," 13,076 ",1421.223389,GCAM
2100," 14,905 ",1421.223389,GCAM
2020, 601 ,1398.594437,GEM-E3
2030," 2,660 ",1210.722284,GEM-E3
2040," 5,961 ",1100.322835,GEM-E3
2050," 8,099 ",1017.665629,GEM-E3
2060," 9,466 ",960.2623561,GEM-E3
2070," 12,490 ",908.2722766,GEM-E3
2080," 15,570 ",860.5312765,GEM-E3
2090," 17,192 ",834.5910992,GEM-E3
2100," 17,664 ",820.6518758,GEM-E3
2020, 620 ,6594.560949,IMAGE
2030," 1,745 ",5334.817059,IMAGE
2040," 3,653 ",4846.499823,IMAGE
2050," 5,877 ",4497.134137,IMAGE
2060," 8,309 ",4240.68514,IMAGE
2070," 10,643 ",3975.248503,IMAGE
2080," 13,645 ",3812.504546,IMAGE
2090," 15,452 ",3675.566779,IMAGE
2100," 16,436 ",3586.56308,IMAGE
2020, 603 ,1632.314336,POLES
2030," 2,225 ",1141.434824,POLES
2040," 5,468 ",821.0073883,POLES
2050," 8,079 ",773.0574615,POLES
2060," 10,646 ",752.1729774,POLES
2070," 12,921 ",744.4925873,POLES
2080," 14,663 ",740.7120102,POLES
2090," 15,528 ",738.3950249,POLES
2100," 15,431 ",737.3348122,POLES
2020, 605 ,973.9186957,REMIND
2030," 4,367 ",570.2533,REMIND
2040," 11,099 ",458.0404325,REMIND
2050," 18,217 ",411.7194589,REMIND
2060," 25,606 ",363.9992983,REMIND
2070," 33,488 ",339.1712771,REMIND
2080," 42,226 ",317.9528848,REMIND
2090," 49,340 ",302.7104147,REMIND
2100," 56,791 ",290.5631403,REMIND
2020, 203 ,1058.987811,TIAM
2030," 1,820 ",440.5492331,TIAM
2040," 4,029 ",313.7284417,TIAM
2050," 6,653 ",244.9231679,TIAM
2060," 10,755 ",219.0865617,TIAM
2070," 14,494 ",218.0963389,TIAM
2080," 16,930 ",219.6035392,TIAM
2090," 18,781 ",183.541251,TIAM
2100," 19,729 ",110.9113657,TIAM
2020, 509 ,2442.293051,WITCH
2030," 1,609 ",1559.078196,WITCH
2040," 3,648 ",1183.224857,WITCH
2050," 6,246 ",1044.830208,WITCH
2060," 7,764 ",955.0954921,WITCH
2070," 9,106 ",890.4611427,WITCH
2080," 10,772 ",840.4510671,WITCH
2090," 12,004 ",802.5500531,WITCH
2100," 12,949 ",772.8774685,WITCH
